"id","title","label","latintoponym","pleiades","welchid","golvinid","buildingtype","chronogroup","secondcentury","capacity","modcountry","romanregion","arenamajor","arenaminor","extmajor","extminor","exteriorheight","longitude","latitude","elevation"
"mactarisAmphitheater","Amphitheater at Mactaris","Mactaris","","https://pleiades.stoa.org/places/324774","","119","amphitheater","second-century",True,5000.0,"Tunisia","proconsularis",38.4,24.8,63.2,49.6,"",9.2066727,35.8556279,911
"cirencesterAmphitheater","Amphitheater at Cirencester","Cirencester","Corinium Dobunnorum","https://pleiades.stoa.org/places/197225","","","amphitheater","second-century",True,"","United Kingdom","britannia","","","","","",-1.972188,51.71151,119
"vindonissaAmphitheater","Amphitheater at Vindonissa","Vindonissa","","https://pleiades.stoa.org/places/177661","","17","amphitheater","flavian",True,15142.0,"Switzerland","germania-superior",64.0,51.0,112.0,98.0,"",8.213605,47.47629,361
"thysdrusSmallAmphitheater","Small Amphitheater at Thysdrus","Thysdrus (Sm.)","","https://pleiades.stoa.org/places/324835","","","amphitheater","second-century",True,9000.0,"Tunisia","proconsularis",60.0,40.0,92.0,72.0,"",10.707911,35.290106,116
"thysdrusAmphitheater","Amphitheater at Thysdrus","Thysdrus (lg.)","","https://pleiades.stoa.org/places/324835","","","amphitheater","post-severan",False,35000.0,"Tunisia","proconsularis",65.0,39.0,148.0,122.0,40.0,10.706939,35.29639,111
"frejusAmphitheater","Amphitheater Fréjus","Fréjus","Forum Julii","https://pleiades.stoa.org/places/157836","","","amphitheater","flavian",True,12000.0,"France","narbonensis",67.7,39.7,113.7,85.7,"",6.72871,43.43446,12
"gortynAmphitheater","Amphitheater at Gortyn","Gortyn","","https://pleiades.stoa.org/places/589796","","","amphitheater","second-century",True,"","Greece","crete-et-cyrenaica","","",85.0,"","",24.953076,35.056454,150
"leptiminusAmphitheater","Amphitheater at Leptiminus","Leptiminus","","https://pleiades.stoa.org/places/324767","","","amphitheater","second-century",True,9000.0,"Tunisia","proconsularis",45.0,26.0,81.0,62.0,"",10.866282,35.678077,9
"miciaAmphitheater","Amphitheater at Micia","Micia","","https://pleiades.stoa.org/places/207286","","","amphitheater","second-century",True,1500.0,"Romania","dacia",44.0,26.0,56.0,37.0,"",22.81731,45.915008,183
"gemellaeAmphitheater","Amphitheater at Gemellae","Gemellae","","https://pleiades.stoa.org/places/334553","","44","amphitheater","hadrianic",True,3204.0,"Algeria","mauretania",52.0,32.0,72.0,52.0,"",5.522904,34.636598,83
"cherchellAmphitheater","Amphitheater at Cherchell","Cherchel","","https://pleiades.stoa.org/places/295279","","","amphitheater","augustan",True,"","Algeria","mauretania",98.0,37.0,145.0,78.0,"",2.198958,36.60878,29
"pulaAmphitheater","Amphitheater at Pula","Pula","Colonia Pietas Iulia Pola Pollentia Herculanea","https://pleiades.stoa.org/places/197448","","","amphitheater","julio-claudian",True,26000.0,"Croatia","regio-x",67.95,41.65,132.45,105.1,32.45,13.850243,44.873229,16
"carmonaAmphitheater","Amphitheater at Carmona","Carmona","Carmo","https://pleiades.stoa.org/places/256058","17","","amphitheater","caesarean",True,8000.0,"Spain","baetica","","","","","",-5.650907,37.469674,223
"caesareaAmphitheater","Amphitheater at Caesarea","Caesarea","","https://pleiades.stoa.org/places/678401","","","amphitheater","second-century",True,"","Israel","judaea",101.0,44.0,134.0,77.0,"",34.897451,32.506473,11
"bergamaAmphitheater","Amphitheater at Pergamum","Bergama","Pergamum","https://pleiades.stoa.org/places/550812","","","amphitheater","second-century",True,23016.0,"Turkey","asia",53.0,37.0,136.2,107.4,"",27.174177,39.125751,100
"anazarbusAmphitheater","Amphitheater at Anazarbus","Anazarbus","","https://pleiades.stoa.org/places/658378","","","amphitheater","imperial",True,"","Turkey","cilicia",60.0,43.0,109.0,80.0,"",35.894673,37.244094,42
"antiochAmphitheater","Amphitheater at Antioch","Antioch","","https://pleiades.stoa.org/places/658381","19","","amphitheater","republican",True,"","Turkey","syria","","","","","",36.160437,36.202624,89
"cyzicusAmphitheater","Amphitheater at Cyzicus","Cyzicus","","https://pleiades.stoa.org/places/511218","","","amphitheater","imperial",True,"","Turkey","asia","","",150.0,100.0,"",27.884552,40.398213,54
"sabrathaAmphitheater","Amphitheater at Sabratha","Sabratha","","https://pleiades.stoa.org/places/344282","","120","amphitheater","second-century",True,20700.0,"Libya","proconsularis",65.0,49.0,115.0,99.0,"",12.49404,32.803879,11
"salamisAmphitheater","Amphitheater at Salamis","Salamis","","https://pleiades.stoa.org/places/707617","","","amphitheater","imperial",True,"","Northern Cyprus","cyprus","","","","","",33.902435,35.185517,6
"paphosAmphitheater","Amphitheater at Paphos","Paphos","","https://pleiades.stoa.org/places/707586","","","amphitheater","imperial",True,"","Cyprus","cyprus","","","","","",32.405344,34.754942,6
"carmarthenAmphitheater","Amphitheater at Carmarthen","Carmarthen","Moridunum","https://pleiades.stoa.org/places/79602","","","amphitheater","second-century",True,"","United Kingdom","britannia","","","","","",-4.296651,51.862005,29
